,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_genres,artist_popularity,track_popularity
110,The Feeling Is All Gone,0.789,0.428,2.0,-9.655,1.0,0.0578,0.891,0.171,0.116,0.78,133.992,track,3Fl3lbYyRQX6McgL8T0Zvq,spotify:track:3Fl3lbYyRQX6McgL8T0Zvq,https://api.spotify.com/v1/tracks/3Fl3lbYyRQX6McgL8T0Zvq,https://api.spotify.com/v1/audio-analysis/3Fl3lbYyRQX6McgL8T0Zvq,217728,4.0,Chase McBride,['folk-pop'],38.0,43.0
111,Morning,0.756,0.58,10.0,-7.648,1.0,0.0352,0.142,0.855,0.349,0.112,130.126,track,7sqtjKU9jHHWXdnxYUPV78,spotify:track:7sqtjKU9jHHWXdnxYUPV78,https://api.spotify.com/v1/tracks/7sqtjKU9jHHWXdnxYUPV78,https://api.spotify.com/v1/audio-analysis/7sqtjKU9jHHWXdnxYUPV78,175385,4.0,LiQWYD,[],47.0,45.0
112,High (Remix),0.502,0.513,10.0,-11.95,0.0,0.0586,0.41,0.0446,0.118,0.102,100.148,track,32R9F2G42rDjgkZg3k5ecx,spotify:track:32R9F2G42rDjgkZg3k5ecx,https://api.spotify.com/v1/tracks/32R9F2G42rDjgkZg3k5ecx,https://api.spotify.com/v1/audio-analysis/32R9F2G42rDjgkZg3k5ecx,170463,4.0,fika,['chill pop'],50.0,52.0
113,we try,0.411,0.151,2.0,-13.117,0.0,0.0451,0.973,4.62e-05,0.174,0.263,86.523,track,2sIUJEq68kzAUqg9D2n4Sq,spotify:track:2sIUJEq68kzAUqg9D2n4Sq,https://api.spotify.com/v1/tracks/2sIUJEq68kzAUqg9D2n4Sq,https://api.spotify.com/v1/audio-analysis/2sIUJEq68kzAUqg9D2n4Sq,96953,3.0,Teischa,['fremantle indie'],32.0,14.0
114,And Then We'll Be Alright,0.731,0.454,5.0,-13.133,0.0,0.237,0.757,0.0857,0.67,0.505,104.931,track,7pgxtIxQT7wg7zG1ftbgDj,spotify:track:7pgxtIxQT7wg7zG1ftbgDj,https://api.spotify.com/v1/tracks/7pgxtIxQT7wg7zG1ftbgDj,https://api.spotify.com/v1/audio-analysis/7pgxtIxQT7wg7zG1ftbgDj,119906,4.0,DWLLRS,['chill pop'],42.0,51.0
115,Call It Off,0.729,0.336,6.0,-9.939,0.0,0.0389,0.146,0.088,0.678,0.374,122.001,track,2QHE1sL1IvYU5TLyAcN6pR,spotify:track:2QHE1sL1IvYU5TLyAcN6pR,https://api.spotify.com/v1/tracks/2QHE1sL1IvYU5TLyAcN6pR,https://api.spotify.com/v1/audio-analysis/2QHE1sL1IvYU5TLyAcN6pR,228197,4.0,Skinnydip,[],38.0,49.0
116,Busy,0.737,0.492,10.0,-7.062,0.0,0.0503,0.0104,0.901,0.105,0.328,94.007,track,6AQUCFk5TnvAth4jv633Rx,spotify:track:6AQUCFk5TnvAth4jv633Rx,https://api.spotify.com/v1/tracks/6AQUCFk5TnvAth4jv633Rx,https://api.spotify.com/v1/audio-analysis/6AQUCFk5TnvAth4jv633Rx,186383,4.0,Timothy Infinite,[],54.0,37.0
117,Painter,0.39,0.232,5.0,-13.517,1.0,0.0428,0.943,0.00113,0.119,0.0644,124.92,track,1qTGSJ55Qo0BSJTafiTbYO,spotify:track:1qTGSJ55Qo0BSJTafiTbYO,https://api.spotify.com/v1/tracks/1qTGSJ55Qo0BSJTafiTbYO,https://api.spotify.com/v1/audio-analysis/1qTGSJ55Qo0BSJTafiTbYO,216213,4.0,Opia,['vapor soul'],51.0,37.0
118,Take Me,0.732,0.609,6.0,-10.578,1.0,0.0438,0.0718,0.659,0.103,0.232,121.03,track,57n5iiH54vIQ9TA1HImFDd,spotify:track:57n5iiH54vIQ9TA1HImFDd,https://api.spotify.com/v1/tracks/57n5iiH54vIQ9TA1HImFDd,https://api.spotify.com/v1/audio-analysis/57n5iiH54vIQ9TA1HImFDd,341401,4.0,Race Banyon,['nz indie'],34.0,37.0
119,Not December,0.269,0.386,7.0,-9.102,1.0,0.187,0.0478,6.67e-06,0.539,0.154,57.444,track,5hBZDbX5UlesD8bHvcHsAB,spotify:track:5hBZDbX5UlesD8bHvcHsAB,https://api.spotify.com/v1/tracks/5hBZDbX5UlesD8bHvcHsAB,https://api.spotify.com/v1/audio-analysis/5hBZDbX5UlesD8bHvcHsAB,161591,4.0,Daniel Loumpouridis,[],28.0,9.0
120,Friends,0.862,0.517,8.0,-7.625,0.0,0.0508,0.00484,0.103,0.0988,0.504,118.004,track,7y0G3FtjhA2gC2xZECbHpD,spotify:track:7y0G3FtjhA2gC2xZECbHpD,https://api.spotify.com/v1/tracks/7y0G3FtjhA2gC2xZECbHpD,https://api.spotify.com/v1/audio-analysis/7y0G3FtjhA2gC2xZECbHpD,274530,4.0,Night Tales,['australian dance'],41.0,50.0
121,Skeletons,0.739,0.492,7.0,-12.964,0.0,0.0463,0.371,0.00342,0.0996,0.148,120.041,track,3YATYUbUpWkLVt9P6Dswoo,spotify:track:3YATYUbUpWkLVt9P6Dswoo,https://api.spotify.com/v1/tracks/3YATYUbUpWkLVt9P6Dswoo,https://api.spotify.com/v1/audio-analysis/3YATYUbUpWkLVt9P6Dswoo,211811,4.0,Saint Sinner,['downtempo bass'],54.0,35.0
122,6 ft.,0.583,0.866,9.0,-4.607,1.0,0.331,0.0286,0.000104,0.113,0.203,183.899,track,0Qg2xVbojNt7oMPD8ljsaR,spotify:track:0Qg2xVbojNt7oMPD8ljsaR,https://api.spotify.com/v1/tracks/0Qg2xVbojNt7oMPD8ljsaR,https://api.spotify.com/v1/audio-analysis/0Qg2xVbojNt7oMPD8ljsaR,211304,4.0,Vindata,"['future bass', 'vapor twitch']",51.0,45.0
123,Tender,0.752,0.202,7.0,-9.806,1.0,0.0352,0.527,0.909,0.372,0.288,126.723,track,0X8D4NZR9ijI8LxEvlcqAJ,spotify:track:0X8D4NZR9ijI8LxEvlcqAJ,https://api.spotify.com/v1/tracks/0X8D4NZR9ijI8LxEvlcqAJ,https://api.spotify.com/v1/audio-analysis/0X8D4NZR9ijI8LxEvlcqAJ,154239,4.0,HÖNS,['chill out'],43.0,36.0
124,Tucson,0.73,0.515,11.0,-8.632,1.0,0.139,0.23,0.149,0.134,0.361,77.599,track,5wMfLe1nd26X7EQszhZjly,spotify:track:5wMfLe1nd26X7EQszhZjly,https://api.spotify.com/v1/tracks/5wMfLe1nd26X7EQszhZjly,https://api.spotify.com/v1/audio-analysis/5wMfLe1nd26X7EQszhZjly,204124,4.0,Healy,"['alternative r&b', 'indie r&b', 'memphis hip hop', 'underground hip hop']",62.0,52.0
125,Before the New,0.743,0.712,9.0,-9.085,1.0,0.183,0.311,0.089,0.0904,0.147,124.969,track,08UtM9Q5WDq05cOHYIBlX1,spotify:track:08UtM9Q5WDq05cOHYIBlX1,https://api.spotify.com/v1/tracks/08UtM9Q5WDq05cOHYIBlX1,https://api.spotify.com/v1/audio-analysis/08UtM9Q5WDq05cOHYIBlX1,236160,4.0,Cozmoe,[],41.0,40.0
126,When It Rains,0.326,0.396,4.0,-8.936,1.0,0.0324,0.862,8.99e-05,0.109,0.0614,86.943,track,6hlgx0DEqPvQPd6dBpt5hV,spotify:track:6hlgx0DEqPvQPd6dBpt5hV,https://api.spotify.com/v1/tracks/6hlgx0DEqPvQPd6dBpt5hV,https://api.spotify.com/v1/audio-analysis/6hlgx0DEqPvQPd6dBpt5hV,157500,4.0,Mr. Popular,[],34.0,37.0
127,No Return,0.657,0.622,10.0,-10.872,0.0,0.0366,0.0323,0.909,0.107,0.0558,120.018,track,5eizBzFqa4HFMz1AG80B7M,spotify:track:5eizBzFqa4HFMz1AG80B7M,https://api.spotify.com/v1/tracks/5eizBzFqa4HFMz1AG80B7M,https://api.spotify.com/v1/audio-analysis/5eizBzFqa4HFMz1AG80B7M,309268,4.0,Massane,['organic house'],47.0,44.0
128,Kintsugi,0.505,0.699,1.0,-5.906,0.0,0.0299,0.244,0.0018,0.121,0.385,142.031,track,6UBvohGWgYo9yYQqFqFwfc,spotify:track:6UBvohGWgYo9yYQqFqFwfc,https://api.spotify.com/v1/tracks/6UBvohGWgYo9yYQqFqFwfc,https://api.spotify.com/v1/audio-analysis/6UBvohGWgYo9yYQqFqFwfc,250141,4.0,Good Lee,[],43.0,38.0
