,endTime,artistName,trackName,msPlayed
2099,2020-06-30 18:39,ODESZA,Thin Floors And Tall Ceilings - ford. Remix,294390
2100,2020-06-30 18:42,Roam,Echoes,176613
2101,2020-06-30 18:46,JIL,Freak,222175
2102,2020-06-30 18:51,DROELOE,Many Words - Goslo Remix,277182
2103,2020-06-30 18:55,SEBASTIAN PAUL,TROJAN HORSE,266393
2104,2020-06-30 19:48,Bronze Whale,Never,17277
2105,2020-06-30 21:05,Bronze Whale,Never,202081
2106,2020-06-30 21:09,Felix Cartal,With You - Bronze Whale Remix,241142
2107,2020-06-30 21:14,CRi,Me and My Friends - CRi Remix,333293
2108,2020-06-30 21:18,On Planets,Holiday (Off the Edge),245783
2109,2020-06-30 21:22,Whethan,Radar (feat. HONNE),203427
2110,2020-06-30 21:25,IHF,Bloom,197176
2111,2020-06-30 21:29,IHF,Clouds,252586
2112,2020-06-30 21:33,IHF,Departure,236458
2113,2020-06-30 21:36,Ukiyo,Sleep In - Pryces Remix,171988
2114,2020-06-30 21:40,Steve Pad,The Ride,223255
2115,2020-06-30 21:43,ayokay,Swing Swing,192546
2116,2020-06-30 21:48,Crooked Colours,Flow,290128
2117,2020-06-30 21:53,Flight Facilities,All Your Love,285004
2118,2020-06-30 21:56,SG Lewis,Throwaway (with Clairo),180000
2119,2020-06-30 21:59,Kasbo,Places We Don’t Know - ford. Remix,202944
2120,2020-06-30 22:02,Hanz,Ambivalence,151797
2121,2020-06-30 22:04,ford.,Warmth,168000
2122,2020-06-30 22:32,James Blake,Don't Miss It,220550
2123,2020-06-30 23:23,FantasyPros - Fantasy Football Podcast,15 Scorching Hot Takes (Ep. 503),554538
2124,2020-06-30 23:49,Fantasy Footballers - Fantasy Football Podcast,Booty-Scootin' Cam Newton + Hold Em' or Fold Em' - Fantasy Football Podcast,1342421
2125,2020-07-01 14:14,Abby Sage,Holy Water,175837
2126,2020-07-01 14:17,Szymon,Feenicks,148373
2127,2020-07-01 14:19,Oruam,Basis,130511
2128,2020-07-01 14:23,COIN,Youuu,235266
2129,2020-07-01 14:26,Lostboycrow,Orange Juice,227346
2130,2020-07-01 14:31,YesYou,Everybody's Got to Learn Sometime (Tentendo Remix),211245
